Time - Voltage	Amplitude - Voltage
533	0,0932287
534	0,0931781
535	0,0920768
536	0,0911145
537	0,0904086
538	0,08926
539	0,0888467
540	0,0884709
541	0,0879644
542	0,087167
543	0,0864824
544	0,0858893
545	0,0844973
546	0,0829598
547	0,0814779
548	0,0806413
549	0,0803096
550	0,0798717
551	0,0794976
552	0,0790385
553	0,0785532
554	0,078362
555	0,0781333
556	0,0779111
557	0,0772543
558	0,0771366
559	0,0762739
560	0,0754962
561	0,0750469
562	0,0743574
563	0,0733918
564	0,0727186
565	0,0722464
566	0,0721615
567	0,0718788
568	0,0718135
569	0,0713886
570	0,0709655
571	0,0708266
572	0,0707024
573	0,0703381
574	0,0699296
575	0,0699574
576	0,0700195
577	0,0699835
578	0,0701796
579	0,0703446
580	0,0710243
581	0,0710276
582	0,0710619
583	0,071222
584	0,0716076
585	0,0721451
586	0,0721402
587	0,0721892
588	0,0722693
589	0,072717
590	0,0728134
591	0,0723445
592	0,0719817
593	0,0718004
594	0,0722023
595	0,0724049
596	0,0722595
597	0,072351
598	0,0719523
599	0,0720961
600	0,0717595
601	0,0717514
602	0,0719148
603	0,072101
604	0,0720063
605	0,071918
606	0,0721402
607	0,0725797
608	0,0724115
609	0,0722301
610	0,0722105
611	0,0721762
612	0,0718412
613	0,072137
614	0,0722579
615	0,071869
616	0,0716158
617	0,0717644
618	0,0718755
619	0,0721255
620	0,0724621
621	0,0723085
622	0,0723918
623	0,0722709
624	0,0720226
625	0,072083
626	0,0722856
627	0,0723412
628	0,072333
629	0,0720144
630	0,0717024
631	0,0715177
632	0,0714246
633	0,0713527
634	0,0715488
635	0,0718249
636	0,0721321
637	0,0727301
638	0,0733967
639	0,073779
640	0,0744375
641	0,0746384
642	0,0747593
643	0,0753328
644	0,0753181
645	0,075493
646	0,0759308
647	0,0762821
648	0,076738
649	0,0776186
650	0,0781938
651	0,078599
652	0,0793015
653	0,0800172
654	0,0805237
655	0,0812916
656	0,0817965
657	0,0824304
658	0,0829385
659	0,0833045
660	0,0836689
661	0,0840087
662	0,0842653
663	0,0844956
664	0,085007
665	0,0850479
666	0,0853975
667	0,0854057
668	0,0855527
669	0,0853698
670	0,0852864
671	0,0850315
672	0,0845218
673	0,083414
674	0,0828405
675	0,0825121
676	0,0822948
677	0,082236
678	0,0821004
679	0,08237
680	0,0824827
681	0,0820546
682	0,0815236
683	0,0809517
684	0,0807279
685	0,0811494
686	0,0813406
687	0,0815873
688	0,0821412
689	0,0830023
690	0,083798
691	0,0839613
692	0,084244
693	0,0842195
694	0,0843241
695	0,0847669
696	0,0850299
697	0,0850348
698	0,0848616
699	0,0853894
700	0,0857227
701	0,0857799
702	0,0858795
703	0,0856606
704	0,0857357
705	0,0857897
706	0,0858599
707	0,086203
708	0,0864808
709	0,0864203
710	0,0867716
711	0,0872193
712	0,0874579
713	0,0876768
714	0,088131
715	0,087997
716	0,0882225
717	0,0880526
718	0,087551
719	0,0867651
720	0,0862292
721	0,0859792
722	0,0856312
723	0,084726
724	0,0839924
725	0,0833388
726	0,0824925
727	0,0821853
728	0,0818896
729	0,0817818
730	0,0820105
731	0,0829434
732	0,0833764
733	0,0838274
734	0,0845381
735	0,0858272
736	0,0867014
737	0,0873043
738	0,0879921
739	0,0885444
740	0,0889087
741	0,0891783
742	0,0899985
743	0,0904985
744	0,0905965
745	0,0916161
746	0,0924003
747	0,0931781
748	0,0931862
749	0,0931192
750	0,0933758
751	0,0935163
752	0,0934673
753	0,0939329
754	0,0942613
755	0,0946322
756	0,0948838
757	0,0953364
758	0,0953936
759	0,0953495
760	0,095343
761	0,0952024
762	0,0954982
763	0,0957857
764	0,0960521
765	0,0958004
766	0,0956485
767	0,0954769
768	0,095392
769	0,0953822
770	0,0955014
771	0,0957841
772	0,0958364
773	0,0956305
774	0,0959932
775	0,0960962
776	0,0958756
777	0,0954573
778	0,0946469
779	0,0944247
780	0,0940669
781	0,0938757
782	0,0937826
783	0,0930425
784	0,0923546
785	0,0919085
786	0,0915295
787	0,0914249
788	0,0912337
789	0,090621
790	0,0901456
791	0,0900116
792	0,0897077
793	0,0893597
794	0,0880902
795	0,0870706
796	0,0862864
797	0,0855429
798	0,0850152
799	0,0839532
800	0,0844401
801	0,0852652
802	0,0850054
803	0,0850348
804	0,0848338
805	0,0850462
806	0,0851149
807	0,0849335
808	0,0849744
809	0,0847391
810	0,0837293
811	0,0833781
812	0,0836003
813	0,0836836
814	0,0839417
815	0,0848224
816	0,0851459
817	0,084878
818	0,0845675
819	0,0840953
820	0,08386
821	0,083713
822	0,0836803
823	0,0838159
824	0,0837375
825	0,0836313
826	0,0836525
827	0,0835709
828	0,0833993
829	0,0834794
830	0,0838306
831	0,0836313
832	0,0836754
833	0,0841329
834	0,083798
