Time - Voltage	Amplitude - Voltage
620	-3,56433
621	-3,55634
622	-3,5551
623	-3,55001
624	-3,54878
625	-3,5432
626	-3,542
627	-3,53431
628	-3,53314
629	-3,52606
630	-3,5249
631	-3,52256
632	-3,52141
633	-3,5174
634	-3,51627
635	-3,51263
636	-3,51153
637	-3,50606
638	-3,505
639	-3,49999
640	-3,49899
641	-3,49221
642	-3,49124
643	-3,48774
644	-3,48682
645	-3,48245
646	-3,48154
647	-3,47772
648	-3,47683
649	-3,47348
650	-3,47258
651	-3,46952
652	-3,46861
653	-3,46406
654	-3,46314
655	-3,45996
656	-3,45903
657	-3,4522
658	-3,45128
659	-3,44473
660	-3,44381
661	-3,43779
662	-3,43686
663	-3,42643
664	-3,42554
665	-3,41697
666	-3,4161
667	-3,41116
668	-3,4103
669	-3,40616
670	-3,40534
671	-3,39886
672	-3,39808
673	-3,39228
674	-3,39157
675	-3,38408
676	-3,38341
677	-3,3772
678	-3,37657
679	-3,37338
680	-3,37279
681	-3,36873
682	-3,36816
683	-3,36538
684	-3,36485
685	-3,36115
686	-3,36064
687	-3,35703
688	-3,35649
689	-3,35219
690	-3,35164
691	-3,34788
692	-3,34734
693	-3,34389
694	-3,34337
695	-3,33973
696	-3,33922
697	-3,33369
698	-3,3332
699	-3,3294
700	-3,32893
701	-3,32758
702	-3,32713
703	-3,32214
704	-3,32174
705	-3,31837
706	-3,318
707	-3,31372
708	-3,31338
709	-3,30889
710	-3,30856
711	-3,30532
712	-3,30498
713	-3,30138
714	-3,30103
715	-3,29501
716	-3,29464
717	-3,28777
718	-3,2874
719	-3,28637
720	-3,28604
721	-3,28063
722	-3,28034
723	-3,27361
724	-3,27333
725	-3,26714
726	-3,26686
727	-3,26043
728	-3,26015
729	-3,25723
730	-3,25691
731	-3,25231
732	-3,25197
733	-3,24795
734	-3,24759
735	-3,24246
736	-3,24211
737	-3,24039
738	-3,24004
739	-3,23539
740	-3,23504
741	-3,23185
742	-3,23147
743	-3,22622
744	-3,22585
745	-3,22111
746	-3,22078
747	-3,2182
